"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1994";47,54;11,21;27,96;10,60;3,46;...;...;0,07;-;-;-;...;-;...;...;-;...;90,42;...;...;...;38,45;...;...;0,01;-;...;8,85
"1995";69,65;51,66;42,02;45,72;31,17;6,92;...;0,00;0,01;-;0,00;-;-;-;-;-;...;86,87;0,00;-;26,62;91,98;-;...;0,02;0,01;1,37;10,50
"1996";74,41;47,67;52,97;78,27;34,69;66,18;53,30;0,14;0,00;0,03;0,00;0,01;0,08;0,06;0,01;0,00;...;85,76;0,05;-;89,96;82,64;0,05;0,03;0,97;2,40;102,91;16,50
"1997";37,92;13,15;12,19;30,93;5,14;11,79;24,80;0,47;-;0,00;0,01;0,02;0,35;0,10;0,03;0,06;0,02;34,50;0,34;-;47,95;21,72;0,10;0,16;0,34;1,20;32,44;5,79
"1998";90,79;28,87;21,17;74,29;10,52;34,62;57,18;3,28;-;1,02;0,73;0,56;1,31;4,38;1,26;11,82;1,18;100,01;1,88;2,79;44,53;68,98;2,18;0,71;5,75;5,36;89,69;12,63
"1999";94,89;113,88;64,23;95,52;63,64;83,62;96,97;35,39;14,23;59,57;38,88;45,64;85,69;55,10;72,99;83,39;75,64;107,94;77,08;112,32;104,07;86,46;110,45;65,29;75,32;90,29;119,35;83,50
"2000";94,53;60,72;64,57;122,90;63,75;87,62;94,71;64,93;91,91;96,84;86,44;89,16;93,22;82,28;101,48;80,18;111,31;97,75;84,27;97,24;99,61;96,26;94,77;96,99;81,56;90,71;86,83;91,08
"2001";98,90;77,99;66,13;77,19;73,64;156,27;100,11;75,45;95,29;107,33;88,03;96,64;87,18;76,94;92,74;92,96;94,13;98,52;86,26;96,00;101,45;98,88;93,66;97,81;88,94;91,28;91,43;91,88
"2002";92,68;84,91;66,06;85,19;85,50;90,72;95,97;79,78;93,41;100,35;97,59;96,61;97,84;95,03;101,39;83,82;90,25;102,69;89,03;93,82;99,45;98,88;90,06;97,30;88,40;90,89;92,17;91,47
"2003";86,75;94,58;68,57;78,41;86,50;86,50;96,67;84,96;88,93;97,22;97,58;94,77;101,58;94,88;102,71;85,32;83,43;108,10;87,30;98,29;99,26;100,70;91,56;97,66;89,75;92,24;90,01;92,00
"2004";94,16;83,24;77,60;80,64;105,25;89,80;102,12;95,98;94,87;108,58;95,41;98,70;99,51;99,02;100,92;94,24;99,70;105,15;90,68;95,86;95,66;96,09;90,38;89,83;93,28;95,53;95,52;96,26
"2005";101,90;82,15;85,09;87,62;106,42;91,32;102,76;100,16;94,83;106,33;94,62;101,24;99,31;97,95;90,63;102,38;101,94;103,15;96,53;97,17;97,17;98,75;93,33;95,83;96,64;94,89;94,07;98,46
"2006";114,10;85,93;86,34;84,80;105,30;90,84;105,93;106,39;101,69;104,35;102,00;107,08;101,79;99,90;94,47;103,71;103,54;103,09;96,12;97,07;100,81;98,63;95,34;102,21;98,85;104,46;99,85;100,30
"2007";113,45;101,72;91,82;88,46;103,32;89,91;105,10;106,25;101,98;104,49;97,72;105,84;104,14;90,95;105,13;99,72;103,38;102,16;93,67;96,10;100,33;101,07;95,99;101,60;104,81;106,75;97,14;99,89
"2008";100,19;88,30;86,98;81,84;102,19;91,22;97,43;101,16;99,19;101,68;91,43;97,95;102,32;88,86;98,65;96,03;99,11;98,36;87,94;95,05;95,12;94,93;91,14;93,00;96,31;100,32;96,36;96,06
"2009";106,68;97,63;93,92;99,60;104,32;100,73;105,74;106,02;102,30;103,63;97,95;105,20;105,14;103,26;103,22;99,78;103,78;102,15;93,05;97,76;98,93;100,62;93,50;102,63;103,30;101,53;99,42;100,20
"2010";98,73;93,29;92,73;90,85;100,64;90,14;97,54;100,24;95,72;99,54;94,28;98,07;98,76;96,60;98,60;94,43;96,80;99,21;90,28;95,63;97,79;98,74;90,96;96,35;96,55;97,55;91,25;96,08
"2011";101,35;93,78;90,33;93,31;96,71;88,48;98,55;97,04;96,92;98,25;97,52;98,29;103,01;89,84;102,07;95,95;98,03;103,95;94,81;99,28;100,84;101,22;93,63;99,98;99,06;100,39;85,47;97,71
"2012";102,76;90,68;93,98;84,34;93,35;87,77;93,49;97,44;93,04;95,67;97,04;96,31;103,68;92,56;96,56;92,25;100,70;101,42;92,62;97,44;99,07;99,42;92,02;99,51;98,60;102,78;92,46;96,67
"2013";50,72;42,41;43,22;41,76;46,72;46,22;52,54;50,09;46,87;50,42;44,79;50,02;51,74;47,75;50,02;45,32;52,06;53,68;48,28;52,19;52,23;52,30;51,28;56,65;49,58;53,93;54,45;50,28
"2014";105,97;48,94;94,50;80,31;88,90;84,89;89,34;92,02;86,08;92,87;89,70;92,53;90,55;89,12;109,90;85,72;93,54;95,52;89,55;95,70;87,90;96,38;88,52;118,00;103,74;86,55;110,32;92,48
"2015";105,56;76,12;98,15;85,77;77,63;91,81;97,17;92,64;81,70;102,63;92,71;91,15;95,82;92,79;102,33;90,30;94,95;97,61;95,76;96,60;96,43;102,64;87,28;117,42;101,41;90,15;82,07;94,34
